[ 2025-01-21 14:13:07,355 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-21 14:13:10,740 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-21 14:13:10,740 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-21 14:13:10,740 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-21 14:13:10,810 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-21 14:13:10,811 ] 20 root - INFO - Data Initiation Completed
[ 2025-01-21 14:13:10,820 ] 24 root - INFO - Initiate the data Validation
[ 2025-01-21 14:13:10,926 ] 33 root - INFO - Required number of columns:2
[ 2025-01-21 14:13:10,926 ] 34 root - INFO - Data frame has columns:31
[ 2025-01-21 14:13:11,133 ] 26 root - INFO - data Validation Completed
[ 2025-01-21 14:13:11,133 ] 28 root - INFO - data Transformation started
[ 2025-01-21 14:13:11,133 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-21 14:13:11,133 ] 65 root - INFO - Starting data transformation
[ 2025-01-21 14:13:11,160 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-21 14:13:11,160 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-21 14:13:11,174 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-21 14:13:11,178 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-21 14:13:11,179 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-21 14:13:11,182 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-21 14:13:11,185 ] 32 root - INFO - data Transformation completed
[ 2025-01-21 14:13:11,185 ] 34 root - INFO - Model Training sstared
[ 2025-01-21 14:19:02,604 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-21 14:19:02,605 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-21 14:19:02,605 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-21 14:19:02,647 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-21 14:19:02,648 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_21_2025_14_13_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911755756161883, precision_score=0.9884685413716366, recall_score=0.9938974776240846), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9747089522280209, precision_score=0.9712, recall_score=0.9782433521353747))
[ 2025-01-21 14:19:02,655 ] 39 root - INFO - Model Training artifact created
